order_id,customer_id,order_date,status,region_code
ORD036,CUST370,2026-12-03 06:50:40,RETURNED,EAST
ORD037,CUST153,2026-06-01 04:44:24,PLACED,WEST
ORD038,CUST431,2024-11-14 16:42:34,PLACED,EAST
ORD039,UNKNOWN,2024-09-27 21:57:32,RETURNED,WEST
ORD040,CUST014,2024-12-25 14:25:10,DELIVERED,NORTH
ORD041,CUST060,2025-10-08 20:50:25,CANCELLED,WEST
ORD042,CUST339,2025-05-19 03:37:35,RETURNED,WEST
ORD043,CUST454,2026-03-14 14:14:39,SHIPPED,WEST
ORD044,UNKNOWN,2025-03-31 21:34:07,DELIVERED,SOUTH
ORD045,CUST289,2026-03-26 01:37:32,PLACED,NORTH
ORD046,CUST414,2025-12-09 16:06:52,RETURNED,SOUTH
ORD047,CUST431,2025-10-31 22:53:32,RETURNED,WEST
ORD048,CUST352,2026-04-01 10:43:18,CANCELLED,CENTRAL
ORD049,CUST244,2025-12-25 17:50:10,CANCELLED,NORTH
ORD050,CUST462,2026-12-01 00:08:57,RETURNED,CENTRAL
ORD051,CUST487,2024-08-21 10:57:52,SHIPPED,SOUTH
ORD052,CUST414,2024-11-13 21:00:13,PLACED,WEST
ORD053,CUST350,2025-10-05 06:02:53,SHIPPED,CENTRAL
ORD054,CUST467,2025-11-17 22:13:45,PLACED,NORTH
ORD055,CUST204,2024-07-16 03:15:16,DELIVERED,CENTRAL
ORD056,CUST448,2026-03-28 00:00:00,RETURNED,CENTRAL
ORD057,CUST215,2024-09-20 18:38:39,SHIPPED,SOUTH
ORD058,CUST299,2026-12-04 11:13:27,PLACED,NORTH
ORD059,CUST052,2024-01-11 21:44:54,RETURNED,EAST
ORD060,CUST136,2025-07-13 09:10:15,CANCELLED,CENTRAL
ORD061,CUST020,2026-01-07 03:56:40,CANCELLED,SOUTH
ORD062,CUST349,2025-10-21 06:00:57,PLACED,WEST
ORD063,CUST170,2025-06-15 04:39:13,PLACED,WEST
ORD064,CUST460,2024-09-18 11:41:29,DELIVERED,EAST
ORD065,CUST432,2024-08-30 19:10:34,PLACED,SOUTH
ORD066,CUST499,2025-01-02 09:01:13,DELIVERED,EAST
ORD067,CUST310,2024-12-31 06:43:37,SHIPPED,WEST
ORD068,CUST422,2025-04-26 01:29:52,CANCELLED,CENTRAL
ORD069,CUST421,2024-12-09 04:40:43,SHIPPED,NORTH
ORD070,CUST260,2025-10-28 01:45:03,RETURNED,CENTRAL
ORD071,UNKNOWN,2024-10-08 08:26:25,SHIPPED,NORTH
ORD072,CUST234,2026-01-25 18:11:25,DELIVERED,SOUTH
ORD073,CUST422,2025-06-05 12:59:09,CANCELLED,NORTH
ORD074,CUST124,2026-04-07 21:51:20,RETURNED,WEST
ORD075,CUST446,2025-05-19 05:11:29,RETURNED,EAST
ORD076,CUST429,2025-10-31 21:46:41,PLACED,EAST
ORD077,UNKNOWN,2025-12-03 00:00:00,RETURNED,SOUTH
ORD078,CUST332,2025-08-20 16:52:38,SHIPPED,EAST
ORD079,CUST263,2025-02-19 00:00:00,PLACED,WEST
ORD080,CUST332,2026-01-15 17:55:26,PLACED,SOUTH
ORD081,CUST413,2025-10-19 02:19:33,DELIVERED,WEST
ORD082,CUST437,2024-08-25 15:49:06,DELIVERED,SOUTH
ORD083,CUST347,2026-04-03 21:44:12,RETURNED,WEST
ORD084,CUST004,2026-10-04 02:48:06,DELIVERED,CENTRAL
ORD085,CUST312,2024-11-25 03:55:14,PLACED,WEST
ORD086,CUST142,2025-11-21 08:31:30,DELIVERED,EAST
ORD087,CUST488,2025-07-31 00:19:28,DELIVERED,SOUTH
ORD088,CUST392,2025-06-17 23:39:43,PLACED,CENTRAL
ORD089,CUST164,2024-07-20 08:17:10,PLACED,WEST
ORD090,CUST133,2024-12-15 16:43:31,CANCELLED,WEST
ORD091,CUST299,2026-03-05 16:21:35,RETURNED,SOUTH
ORD092,CUST366,2025-04-12 05:50:21,RETURNED,WEST
ORD093,CUST344,2026-04-07 23:13:31,DELIVERED,SOUTH
ORD094,CUST449,2026-03-28 10:35:48,DELIVERED,NORTH
ORD095,CUST380,2025-08-18 11:42:26,RETURNED,SOUTH
ORD096,CUST461,2025-02-19 04:10:40,PLACED,SOUTH
ORD097,CUST382,2024-10-12 06:58:04,CANCELLED,EAST
ORD098,CUST300,2024-07-08 03:09:13,PLACED,WEST
ORD099,CUST325,2026-12-03 22:41:35,RETURNED,NORTH
ORD100,CUST100,2025-10-20 16:23:52,CANCELLED,CENTRAL
ORD101,CUST028,2025-12-08 13:55:54,SHIPPED,SOUTH
ORD102,CUST176,2025-08-16 16:05:34,RETURNED,WEST
ORD103,CUST442,2026-05-01 12:40:36,PLACED,WEST
ORD104,CUST091,2025-07-01 23:17:23,PLACED,NORTH
ORD105,CUST108,2025-01-11 20:36:09,SHIPPED,CENTRAL
ORD106,CUST251,2024-11-20 16:01:12,PLACED,SOUTH
ORD107,CUST325,2025-12-17 13:21:18,CANCELLED,WEST
ORD108,CUST020,2024-09-08 00:51:29,DELIVERED,NORTH
ORD109,CUST388,2025-04-17 10:40:10,SHIPPED,NORTH
ORD110,CUST321,2025-01-13 20:41:48,SHIPPED,EAST
ORD111,CUST053,2025-02-12 19:04:17,RETURNED,EAST
ORD112,CUST422,2024-07-12 00:00:00,DELIVERED,WEST
ORD113,CUST306,2024-11-11 07:36:47,CANCELLED,SOUTH
ORD114,CUST462,2024-09-17 11:29:50,SHIPPED,SOUTH
ORD115,CUST471,2025-11-02 08:27:57,PLACED,SOUTH
ORD116,CUST068,2026-09-03 14:47:09,PLACED,CENTRAL
ORD117,CUST064,2025-05-18 06:36:49,PLACED,WEST
ORD118,CUST131,2025-12-04 07:24:24,RETURNED,NORTH
ORD119,CUST025,2025-12-14 04:02:07,PLACED,NORTH
ORD120,CUST214,2025-05-14 22:37:53,PLACED,CENTRAL
ORD121,CUST360,2025-05-22 22:47:01,PLACED,EAST
ORD122,CUST052,2025-10-10 05:57:22,DELIVERED,CENTRAL
ORD123,CUST071,2024-12-14 14:41:10,PLACED,CENTRAL
ORD124,CUST061,2025-08-18 04:03:12,PLACED,WEST
ORD125,CUST103,2024-07-23 23:04:57,RETURNED,SOUTH
ORD126,CUST210,2026-04-02 09:55:03,PLACED,CENTRAL
ORD127,CUST107,2026-09-01 13:05:36,CANCELLED,EAST
ORD128,CUST007,2024-03-09 07:44:48,PLACED,CENTRAL
ORD129,CUST077,2026-06-25 23:20:20,RETURNED,NORTH
ORD130,CUST052,2024-09-20 01:26:36,SHIPPED,WEST
ORD131,CUST152,2025-11-09 21:46:46,PLACED,NORTH
ORD132,CUST448,2025-02-17 00:00:00,DELIVERED,EAST
ORD133,CUST161,2026-01-27 00:50:11,PLACED,NORTH
ORD134,CUST456,2026-04-17 00:00:00,SHIPPED,SOUTH
ORD135,CUST458,2025-09-19 07:16:04,RETURNED,EAST
ORD136,CUST048,2026-06-22 17:38:00,DELIVERED,SOUTH
ORD137,CUST205,2025-07-10 19:16:40,DELIVERED,WEST
ORD138,CUST245,2025-08-04 09:35:44,SHIPPED,NORTH
ORD139,CUST372,2025-07-04 22:02:06,SHIPPED,NORTH
ORD140,CUST303,2026-06-04 10:55:45,RETURNED,WEST
ORD141,CUST195,2025-11-02 19:06:35,RETURNED,NORTH
ORD142,CUST451,2025-03-01 19:05:02,SHIPPED,WEST
ORD143,CUST058,2025-10-26 00:03:47,CANCELLED,NORTH
ORD144,CUST336,2024-10-12 02:50:32,RETURNED,CENTRAL
ORD145,CUST115,2025-06-30 05:57:08,DELIVERED,CENTRAL
ORD146,CUST359,2026-04-07 03:45:07,CANCELLED,SOUTH
ORD147,CUST340,2025-05-21 18:55:27,CANCELLED,SOUTH
ORD148,CUST286,2025-01-10 13:40:05,RETURNED,NORTH
ORD149,UNKNOWN,2024-07-15 15:20:21,RETURNED,WEST
ORD150,CUST446,2025-01-30 20:01:36,CANCELLED,EAST
ORD151,CUST497,2024-11-24 23:30:53,RETURNED,SOUTH
ORD152,CUST194,2025-05-24 06:10:10,SHIPPED,NORTH
ORD153,CUST411,2025-09-08 05:35:31,PLACED,WEST
ORD154,CUST061,2024-02-10 17:16:50,PLACED,NORTH
ORD155,CUST019,2025-09-18 22:15:40,PLACED,NORTH
ORD156,CUST494,2024-06-09 06:00:08,DELIVERED,CENTRAL
ORD157,CUST336,2025-06-08 20:22:59,DELIVERED,EAST
ORD158,CUST419,2025-02-25 13:52:53,CANCELLED,EAST
ORD159,CUST318,2025-02-04 02:03:12,DELIVERED,WEST
ORD160,CUST389,2024-10-10 21:50:08,PLACED,EAST
ORD161,CUST325,2026-03-27 16:33:29,DELIVERED,CENTRAL
ORD162,CUST360,2025-08-14 16:59:14,SHIPPED,WEST
ORD163,CUST368,2025-01-28 04:22:58,CANCELLED,NORTH
ORD164,CUST101,2026-05-23 12:33:39,CANCELLED,SOUTH
ORD165,CUST401,2025-02-09 19:52:33,DELIVERED,NORTH
ORD166,CUST024,2026-04-04 14:47:42,RETURNED,NORTH
ORD167,CUST231,2026-03-20 06:28:39,RETURNED,CENTRAL
ORD168,CUST256,2025-10-01 00:00:00,PLACED,CENTRAL
ORD169,CUST430,2025-01-22 07:36:19,RETURNED,SOUTH
ORD170,CUST089,2026-02-01 05:18:15,SHIPPED,NORTH
ORD171,CUST308,2025-06-20 22:26:08,DELIVERED,CENTRAL
ORD172,CUST215,2025-04-30 21:54:57,SHIPPED,EAST
ORD173,CUST176,2025-09-22 10:51:13,CANCELLED,SOUTH
ORD174,CUST309,2025-07-22 16:08:40,RETURNED,EAST
ORD175,CUST281,2026-02-03 01:51:31,RETURNED,SOUTH
ORD176,CUST320,2025-01-16 23:34:19,DELIVERED,SOUTH
ORD177,CUST333,2026-02-20 08:57:19,SHIPPED,CENTRAL
ORD178,CUST327,2025-01-04 20:21:55,PLACED,EAST
ORD179,CUST299,2026-06-03 10:50:22,CANCELLED,CENTRAL
ORD180,CUST434,2025-03-07 10:11:04,PLACED,CENTRAL
ORD181,CUST196,2025-12-23 10:28:32,PLACED,SOUTH
ORD182,CUST403,2025-04-07 21:04:53,DELIVERED,EAST
ORD183,CUST032,2026-08-06 09:02:43,DELIVERED,SOUTH
ORD184,CUST017,2025-10-10 19:52:08,CANCELLED,NORTH
ORD185,CUST346,2026-12-05 13:54:31,SHIPPED,CENTRAL
ORD186,CUST262,2024-02-08 06:29:02,DELIVERED,NORTH
ORD187,CUST199,2025-07-21 09:12:18,DELIVERED,CENTRAL
ORD188,CUST381,2024-10-10 08:01:41,RETURNED,WEST
ORD189,CUST467,2025-01-28 06:44:19,DELIVERED,CENTRAL
ORD190,CUST309,2024-02-09 11:55:57,SHIPPED,EAST
ORD191,CUST350,2025-05-05 06:10:34,SHIPPED,CENTRAL
ORD192,CUST021,2025-11-16 04:56:31,RETURNED,EAST
ORD193,CUST300,2026-03-16 14:14:37,PLACED,EAST
ORD194,CUST480,2024-12-30 04:51:15,SHIPPED,EAST
ORD195,CUST397,2025-12-19 19:12:08,RETURNED,EAST
ORD196,CUST294,2026-07-01 15:29:59,PLACED,EAST
ORD197,CUST490,2025-06-01 14:50:18,PLACED,CENTRAL
ORD198,CUST279,2026-03-25 12:43:10,PLACED,EAST
ORD199,CUST110,2025-03-14 06:16:36,DELIVERED,EAST
ORD200,CUST487,2025-05-28 08:48:26,RETURNED,WEST
ORD201,CUST422,2025-12-04 06:49:17,PLACED,NORTH
ORD202,CUST229,2025-08-17 04:57:59,RETURNED,CENTRAL
ORD203,CUST021,2025-01-09 01:54:19,DELIVERED,WEST
ORD204,CUST484,2024-07-19 13:53:00,DELIVERED,CENTRAL
ORD205,CUST013,2026-07-01 08:50:04,DELIVERED,CENTRAL
ORD206,CUST229,2026-04-19 09:32:04,DELIVERED,SOUTH
ORD207,CUST043,2025-01-02 13:49:26,SHIPPED,CENTRAL
ORD208,CUST321,2025-01-20 20:29:14,SHIPPED,WEST
ORD209,CUST106,2025-02-20 04:05:45,CANCELLED,NORTH
ORD210,CUST079,2024-09-22 00:00:00,DELIVERED,NORTH
ORD211,CUST028,2025-05-17 21:14:09,DELIVERED,CENTRAL
ORD212,CUST421,2025-12-17 07:16:09,DELIVERED,WEST
ORD213,CUST323,2026-02-13 15:03:08,DELIVERED,NORTH
ORD214,CUST061,2026-10-04 18:34:17,RETURNED,NORTH
ORD215,CUST300,2025-04-03 00:00:00,PLACED,EAST
ORD216,CUST055,2024-09-09 01:54:35,DELIVERED,CENTRAL
ORD217,CUST392,2025-09-15 18:13:09,CANCELLED,WEST
ORD218,CUST016,2026-05-07 11:06:51,RETURNED,SOUTH
ORD219,CUST201,2024-11-27 15:50:43,RETURNED,EAST
ORD220,CUST074,2025-07-17 04:16:03,DELIVERED,NORTH
ORD221,CUST285,2025-12-03 19:38:33,PLACED,NORTH
ORD222,CUST202,2025-12-04 15:03:16,PLACED,EAST
ORD223,CUST380,2024-12-28 18:59:52,DELIVERED,SOUTH
ORD224,CUST331,2026-06-06 15:53:35,SHIPPED,SOUTH
ORD225,CUST316,2025-09-30 15:24:30,SHIPPED,NORTH
ORD226,CUST410,2025-06-02 00:33:58,PLACED,CENTRAL
ORD227,CUST282,2024-11-30 23:58:44,PLACED,EAST
ORD228,CUST372,2026-11-02 13:59:26,DELIVERED,EAST
ORD229,CUST336,2025-12-24 14:40:23,DELIVERED,CENTRAL
ORD230,CUST100,2026-04-07 13:50:41,CANCELLED,EAST
ORD231,CUST157,2026-06-18 18:54:26,SHIPPED,CENTRAL
ORD232,CUST414,2024-06-12 17:36:32,CANCELLED,SOUTH
ORD233,UNKNOWN,2025-03-08 14:39:06,SHIPPED,WEST
ORD234,CUST185,2026-04-02 13:23:53,DELIVERED,WEST
ORD235,CUST184,2024-12-14 02:41:02,CANCELLED,CENTRAL
ORD236,CUST331,2025-10-01 10:45:47,DELIVERED,SOUTH
ORD237,CUST101,2026-03-02 06:01:17,PLACED,NORTH
ORD238,CUST435,2025-01-16 00:53:25,PLACED,CENTRAL
ORD239,CUST394,2026-05-20 21:43:45,PLACED,CENTRAL
ORD240,CUST458,2025-03-02 04:08:41,CANCELLED,SOUTH
ORD241,CUST115,2024-12-19 15:15:47,RETURNED,EAST
ORD242,CUST257,2025-06-01 01:22:05,CANCELLED,EAST
ORD243,CUST340,2024-12-16 12:28:21,RETURNED,SOUTH
ORD244,CUST072,2026-04-21 13:02:55,SHIPPED,CENTRAL
ORD245,CUST338,2025-01-21 23:17:24,SHIPPED,WEST
ORD246,CUST021,2026-04-22 15:02:20,CANCELLED,SOUTH
ORD247,CUST190,2025-04-11 12:06:43,SHIPPED,CENTRAL
ORD248,CUST185,2025-04-14 13:27:40,CANCELLED,NORTH
ORD249,UNKNOWN,2024-10-11 04:35:53,PLACED,CENTRAL
ORD250,CUST141,2026-09-03 01:05:44,DELIVERED,CENTRAL
ORD251,CUST090,2024-02-10 21:27:45,CANCELLED,EAST
ORD252,CUST460,2024-10-13 03:19:37,RETURNED,EAST
ORD253,CUST465,2026-06-26 18:10:48,CANCELLED,EAST
ORD254,CUST177,2024-10-09 23:44:39,CANCELLED,CENTRAL
ORD255,UNKNOWN,2025-12-18 22:40:51,CANCELLED,SOUTH
ORD256,CUST264,2025-09-12 07:45:04,SHIPPED,SOUTH
ORD257,CUST186,2025-07-29 16:34:07,PLACED,SOUTH
ORD258,CUST170,2025-10-31 19:11:39,CANCELLED,WEST
ORD259,CUST303,2024-07-17 04:06:15,CANCELLED,NORTH
ORD260,CUST066,2026-02-25 15:10:28,SHIPPED,SOUTH
ORD261,CUST021,2026-08-05 17:55:59,SHIPPED,NORTH
ORD262,CUST473,2025-05-09 14:26:09,CANCELLED,CENTRAL
ORD263,CUST327,2024-08-13 00:00:00,DELIVERED,NORTH
ORD264,CUST311,2026-01-05 16:41:35,CANCELLED,SOUTH
ORD265,CUST211,2025-07-21 15:12:21,RETURNED,SOUTH
ORD266,CUST262,2025-04-26 08:14:05,DELIVERED,WEST
ORD267,CUST036,2025-06-11 02:42:37,CANCELLED,SOUTH
ORD268,CUST104,2025-03-14 00:25:38,RETURNED,WEST
ORD269,CUST311,2025-07-29 10:31:11,CANCELLED,CENTRAL
ORD270,CUST450,2026-09-06 14:49:21,RETURNED,NORTH
ORD271,CUST338,2026-05-27 07:25:21,RETURNED,CENTRAL
ORD272,CUST460,2026-08-06 17:55:03,CANCELLED,CENTRAL
ORD273,CUST448,2025-10-01 00:00:00,RETURNED,WEST
ORD274,CUST411,2026-05-17 19:39:17,CANCELLED,EAST
ORD275,CUST380,2025-10-02 10:01:29,RETURNED,NORTH
ORD276,CUST131,2025-07-28 05:54:17,SHIPPED,NORTH
ORD277,CUST449,2024-01-12 01:36:30,DELIVERED,SOUTH
ORD278,UNKNOWN,2026-02-25 15:30:44,PLACED,CENTRAL
ORD279,CUST267,2026-06-23 00:00:00,SHIPPED,EAST
ORD280,CUST055,2025-08-13 00:51:05,RETURNED,EAST
ORD281,CUST275,2025-02-14 17:10:42,DELIVERED,CENTRAL
ORD282,CUST349,2025-05-17 01:38:29,SHIPPED,WEST
ORD283,CUST286,2024-12-31 12:44:22,DELIVERED,CENTRAL
ORD284,CUST130,2026-02-14 16:48:03,RETURNED,EAST
ORD285,CUST204,2025-02-10 22:26:53,PLACED,SOUTH
ORD286,CUST359,2024-10-19 15:18:28,PLACED,SOUTH
ORD287,CUST403,2024-08-23 02:01:30,RETURNED,CENTRAL
ORD288,CUST362,2025-08-24 09:02:56,CANCELLED,NORTH
ORD289,CUST422,2026-03-24 20:06:04,RETURNED,WEST
ORD290,CUST135,2025-05-06 17:11:59,PLACED,CENTRAL
ORD291,UNKNOWN,2025-07-18 13:09:44,CANCELLED,CENTRAL
ORD292,CUST147,2026-11-07 21:03:28,RETURNED,NORTH
ORD293,CUST420,2025-05-09 01:16:30,CANCELLED,WEST
ORD294,UNKNOWN,2024-06-08 07:38:30,RETURNED,EAST
ORD295,CUST402,2025-06-08 07:26:48,RETURNED,SOUTH
ORD296,CUST346,2025-04-07 00:00:00,SHIPPED,NORTH
ORD297,CUST045,2025-05-13 20:02:43,CANCELLED,EAST
ORD298,CUST208,2026-11-05 07:39:03,RETURNED,NORTH
ORD299,CUST036,2025-12-27 02:54:34,RETURNED,EAST
ORD300,CUST287,2026-06-03 16:31:41,DELIVERED,EAST
ORD301,CUST142,2024-11-24 19:08:41,SHIPPED,WEST
ORD302,CUST295,2025-07-02 00:00:00,SHIPPED,WEST
ORD303,CUST287,2024-10-13 12:27:19,DELIVERED,EAST
ORD304,CUST412,2026-05-01 08:51:07,DELIVERED,CENTRAL
ORD305,CUST295,2025-08-18 12:40:26,CANCELLED,WEST
ORD306,CUST395,2025-04-07 08:58:02,DELIVERED,WEST
ORD307,CUST460,2025-03-14 04:47:45,PLACED,WEST
ORD308,CUST035,2025-12-29 08:26:45,SHIPPED,SOUTH
ORD309,CUST212,2024-07-18 13:33:51,RETURNED,CENTRAL
ORD310,UNKNOWN,2024-07-21 04:58:13,SHIPPED,EAST
ORD311,CUST345,2025-12-17 14:49:18,DELIVERED,NORTH
ORD312,CUST092,2024-12-22 17:20:21,DELIVERED,SOUTH
ORD313,CUST138,2025-02-05 17:40:50,SHIPPED,WEST
ORD314,CUST121,2025-06-10 07:24:29,DELIVERED,SOUTH
ORD315,CUST428,2024-09-28 06:42:20,RETURNED,EAST
ORD316,CUST055,2025-03-21 19:12:01,PLACED,WEST
ORD317,CUST392,2025-04-18 21:23:09,PLACED,WEST
ORD318,CUST162,2025-10-30 23:38:29,RETURNED,EAST
ORD319,CUST392,2026-12-05 10:31:47,DELIVERED,WEST
ORD320,CUST296,2025-01-29 17:48:11,RETURNED,WEST
ORD321,CUST277,2024-12-04 00:00:00,DELIVERED,WEST
ORD322,CUST398,2025-11-09 02:35:34,PLACED,CENTRAL
ORD323,CUST353,2025-02-01 00:00:00,SHIPPED,WEST
ORD324,CUST167,2025-12-01 05:13:27,DELIVERED,SOUTH
ORD325,CUST122,2025-06-02 06:45:48,RETURNED,EAST
ORD326,CUST256,2025-07-13 03:08:39,CANCELLED,EAST
ORD327,CUST206,2025-10-31 05:20:41,SHIPPED,CENTRAL
ORD328,CUST295,2025-04-04 12:24:41,PLACED,EAST
ORD329,CUST285,2025-04-22 05:57:02,CANCELLED,SOUTH
ORD330,CUST492,2024-01-12 21:01:45,CANCELLED,NORTH
ORD331,CUST256,2025-03-08 10:22:37,RETURNED,CENTRAL
ORD332,CUST403,2025-06-06 07:29:53,DELIVERED,CENTRAL
ORD333,CUST025,2024-12-22 13:14:23,SHIPPED,NORTH
ORD334,CUST131,2025-02-06 13:05:19,PLACED,WEST
ORD335,CUST134,2026-07-01 06:51:36,RETURNED,CENTRAL
ORD336,CUST132,2026-02-16 06:34:31,CANCELLED,NORTH
ORD337,CUST348,2025-04-27 04:59:04,SHIPPED,CENTRAL
ORD338,CUST333,2025-04-21 14:10:36,DELIVERED,EAST
ORD339,CUST262,2026-06-05 14:25:21,CANCELLED,NORTH
ORD340,CUST147,2025-05-19 04:13:02,SHIPPED,SOUTH
ORD341,CUST476,2025-02-14 05:18:08,RETURNED,CENTRAL
ORD342,CUST465,2025-06-27 02:49:38,SHIPPED,EAST
ORD343,CUST163,2024-11-28 18:00:29,DELIVERED,CENTRAL
ORD344,CUST139,2025-09-28 20:28:45,DELIVERED,CENTRAL
ORD345,CUST231,2024-10-21 21:14:28,SHIPPED,NORTH
ORD346,CUST121,2025-02-10 08:02:54,PLACED,SOUTH
ORD347,CUST053,2025-12-26 20:49:08,CANCELLED,CENTRAL
ORD348,CUST395,2025-05-01 13:25:22,PLACED,NORTH
ORD349,CUST080,2026-05-04 10:14:38,CANCELLED,EAST
ORD350,CUST378,2024-09-27 14:20:12,SHIPPED,SOUTH
ORD351,CUST088,2026-01-22 00:00:00,DELIVERED,EAST
ORD352,CUST240,2025-06-02 16:50:45,RETURNED,EAST
ORD353,CUST070,2026-03-28 13:54:32,RETURNED,SOUTH
ORD354,CUST234,2025-11-01 04:21:25,RETURNED,WEST
ORD355,CUST328,2025-09-16 08:55:07,DELIVERED,WEST
ORD356,CUST413,2025-12-06 17:46:17,DELIVERED,EAST
ORD357,CUST080,2026-08-05 03:22:54,PLACED,CENTRAL
ORD358,CUST435,2025-03-05 20:48:39,DELIVERED,WEST
ORD359,CUST353,2024-11-12 07:30:47,CANCELLED,EAST
ORD360,UNKNOWN,2024-02-11 07:21:15,DELIVERED,CENTRAL
ORD361,CUST004,2026-03-25 10:24:32,SHIPPED,WEST
ORD362,CUST224,2026-05-02 16:03:03,SHIPPED,WEST
ORD363,CUST113,2024-05-11 04:24:28,CANCELLED,SOUTH
ORD364,CUST410,2025-07-14 09:44:49,DELIVERED,EAST
ORD365,CUST273,2026-03-29 19:22:36,CANCELLED,SOUTH
ORD366,CUST094,2024-07-19 14:14:22,PLACED,WEST
ORD367,CUST140,2024-11-26 04:49:41,CANCELLED,SOUTH
ORD368,CUST078,2025-06-04 00:00:00,RETURNED,NORTH
ORD369,CUST053,2025-04-08 01:48:30,SHIPPED,WEST
ORD370,CUST120,2024-10-24 11:21:49,PLACED,WEST
ORD371,CUST216,2026-05-06 20:23:50,CANCELLED,EAST
ORD372,CUST406,2026-05-02 00:00:00,PLACED,SOUTH
ORD373,CUST398,2025-11-13 20:50:06,RETURNED,WEST
ORD374,CUST459,2025-08-17 14:20:18,CANCELLED,NORTH
ORD375,CUST394,2025-08-30 18:47:12,CANCELLED,WEST
ORD376,CUST018,2026-01-22 16:50:53,PLACED,CENTRAL
ORD377,CUST107,2025-03-14 06:12:44,DELIVERED,EAST
ORD378,CUST373,2026-03-14 00:00:00,RETURNED,CENTRAL
ORD379,CUST247,2025-07-24 23:53:16,SHIPPED,EAST
ORD380,CUST443,2025-02-03 01:40:21,PLACED,SOUTH
ORD381,CUST167,2025-01-22 00:00:00,DELIVERED,CENTRAL
ORD382,CUST405,2025-09-21 15:39:00,PLACED,CENTRAL
ORD383,CUST244,2026-09-05 20:16:00,SHIPPED,EAST
ORD384,CUST128,2025-09-26 01:49:57,PLACED,CENTRAL
ORD385,CUST497,2024-08-18 01:59:45,PLACED,NORTH
ORD386,CUST079,2025-05-17 11:22:47,PLACED,SOUTH
ORD387,CUST163,2024-09-26 21:39:14,DELIVERED,WEST
ORD388,CUST011,2025-12-30 09:17:16,DELIVERED,SOUTH
ORD389,CUST021,2024-11-15 21:32:36,CANCELLED,CENTRAL
ORD390,CUST357,2024-08-27 15:47:21,RETURNED,SOUTH
ORD391,CUST166,2024-12-26 09:13:55,DELIVERED,CENTRAL
ORD392,CUST284,2026-05-04 03:17:54,RETURNED,SOUTH
ORD393,CUST420,2025-01-25 12:55:59,DELIVERED,WEST
ORD394,UNKNOWN,2025-07-17 03:58:07,CANCELLED,SOUTH
ORD395,CUST318,2026-04-24 16:11:46,RETURNED,SOUTH
ORD396,CUST033,2025-11-13 06:06:45,RETURNED,WEST
ORD397,CUST350,2024-09-24 19:49:38,RETURNED,SOUTH
ORD398,CUST166,2025-06-26 10:31:53,DELIVERED,NORTH
ORD399,CUST338,2026-10-02 08:51:13,SHIPPED,SOUTH
ORD400,CUST104,2025-03-28 23:04:48,SHIPPED,NORTH
ORD401,UNKNOWN,2025-01-29 19:04:38,CANCELLED,WEST
ORD402,CUST360,2025-04-18 09:26:59,PLACED,EAST
